Variable Name,Type
id,int
subjectid,int
labels,int
labelsactivity,char
timeBodyAcc.mean.X,num
timeBodyAcc.mean.Y,num
timeBodyAcc.mean.Z,num
timeBodyAcc.std.X,num
timeBodyAcc.std.Y,num
timeBodyAcc.std.Z,num
timeBodyAcc.mad.X,num
timeBodyAcc.mad.Y,num
timeBodyAcc.mad.Z,num
timeBodyAcc.max.X,num
timeBodyAcc.max.Y,num
timeBodyAcc.max.Z,num
timeBodyAcc.min.X,num
timeBodyAcc.min.Y,num
timeBodyAcc.min.Z,num
timeBodyAcc.sma,num
timeBodyAcc.energy.X,num
timeBodyAcc.energy.Y,num
timeBodyAcc.energy.Z,num
timeBodyAcc.iqr.X,num
timeBodyAcc.iqr.Y,num
timeBodyAcc.iqr.Z,num
timeBodyAcc.entropy.X,num
timeBodyAcc.entropy.Y,num
timeBodyAcc.entropy.Z,num
timeBodyAcc.arCoeff.X1,num
timeBodyAcc.arCoeff.X2,num
timeBodyAcc.arCoeff.X3,num
timeBodyAcc.arCoeff.X4,num
timeBodyAcc.arCoeff.Y1,num
timeBodyAcc.arCoeff.Y2,num
timeBodyAcc.arCoeff.Y3,num
timeBodyAcc.arCoeff.Y4,num
timeBodyAcc.arCoeff.Z1,num
timeBodyAcc.arCoeff.Z2,num
timeBodyAcc.arCoeff.Z3,num
timeBodyAcc.arCoeff.Z4,num
timeBodyAcc.correlation.XY,num
timeBodyAcc.correlation.XZ,num
timeBodyAcc.correlation.YZ,num
timeGravityAcc.mean.X,num
timeGravityAcc.mean.Y,num
timeGravityAcc.mean.Z,num
timeGravityAcc.std.X,num
timeGravityAcc.std.Y,num
timeGravityAcc.std.Z,num
timeGravityAcc.mad.X,num
timeGravityAcc.mad.Y,num
timeGravityAcc.mad.Z,num
timeGravityAcc.max.X,num
timeGravityAcc.max.Y,num
timeGravityAcc.max.Z,num
timeGravityAcc.min.X,num
timeGravityAcc.min.Y,num
timeGravityAcc.min.Z,num
timeGravityAcc.sma,num
timeGravityAcc.energy.X,num
timeGravityAcc.energy.Y,num
timeGravityAcc.energy.Z,num
timeGravityAcc.iqr.X,num
timeGravityAcc.iqr.Y,num
timeGravityAcc.iqr.Z,num
timeGravityAcc.entropy.X,num
timeGravityAcc.entropy.Y,num
timeGravityAcc.entropy.Z,num
timeGravityAcc.arCoeff.X1,num
timeGravityAcc.arCoeff.X2,num
timeGravityAcc.arCoeff.X3,num
timeGravityAcc.arCoeff.X4,num
timeGravityAcc.arCoeff.Y1,num
timeGravityAcc.arCoeff.Y2,num
timeGravityAcc.arCoeff.Y3,num
timeGravityAcc.arCoeff.Y4,num
timeGravityAcc.arCoeff.Z1,num
timeGravityAcc.arCoeff.Z2,num
timeGravityAcc.arCoeff.Z3,num
timeGravityAcc.arCoeff.Z4,num
timeGravityAcc.correlation.XY,num
timeGravityAcc.correlation.XZ,num
timeGravityAcc.correlation.YZ,num
timeBodyAccJerk.mean.X,num
timeBodyAccJerk.mean.Y,num
timeBodyAccJerk.mean.Z,num
timeBodyAccJerk.std.X,num
timeBodyAccJerk.std.Y,num
timeBodyAccJerk.std.Z,num
timeBodyAccJerk.mad.X,num
timeBodyAccJerk.mad.Y,num
timeBodyAccJerk.mad.Z,num
timeBodyAccJerk.max.X,num
timeBodyAccJerk.max.Y,num
timeBodyAccJerk.max.Z,num
timeBodyAccJerk.min.X,num
timeBodyAccJerk.min.Y,num
timeBodyAccJerk.min.Z,num
timeBodyAccJerk.sma,num
timeBodyAccJerk.energy.X,num
timeBodyAccJerk.energy.Y,num
timeBodyAccJerk.energy.Z,num
timeBodyAccJerk.iqr.X,num
timeBodyAccJerk.iqr.Y,num
timeBodyAccJerk.iqr.Z,num
timeBodyAccJerk.entropy.X,num
timeBodyAccJerk.entropy.Y,num
timeBodyAccJerk.entropy.Z,num
timeBodyAccJerk.arCoeff.X1,num
timeBodyAccJerk.arCoeff.X2,num
timeBodyAccJerk.arCoeff.X3,num
timeBodyAccJerk.arCoeff.X4,num
timeBodyAccJerk.arCoeff.Y1,num
timeBodyAccJerk.arCoeff.Y2,num
timeBodyAccJerk.arCoeff.Y3,num
timeBodyAccJerk.arCoeff.Y4,num
timeBodyAccJerk.arCoeff.Z1,num
timeBodyAccJerk.arCoeff.Z2,num
timeBodyAccJerk.arCoeff.Z3,num
timeBodyAccJerk.arCoeff.Z4,num
timeBodyAccJerk.correlation.XY,num
timeBodyAccJerk.correlation.XZ,num
timeBodyAccJerk.correlation.YZ,num
timeBodyGyro.mean.X,num
timeBodyGyro.mean.Y,num
timeBodyGyro.mean.Z,num
timeBodyGyro.std.X,num
timeBodyGyro.std.Y,num
timeBodyGyro.std.Z,num
timeBodyGyro.mad.X,num
timeBodyGyro.mad.Y,num
timeBodyGyro.mad.Z,num
timeBodyGyro.max.X,num
timeBodyGyro.max.Y,num
timeBodyGyro.max.Z,num
timeBodyGyro.min.X,num
timeBodyGyro.min.Y,num
